MES;CVLI;M;F
01/2014;398;367;31
02/2014;386;372;14
03/2014;469;434;35
04/2014;345;326;19
05/2014;359;335;24
06/2014;371;347;24
07/2014;326;305;21
08/2014;308;293;15
09/2014;341;329;12
10/2014;374;345;29
11/2014;381;360;21
12/2014;380;363;17
01/2015;431;413;18
02/2015;331;307;24
03/2015;323;301;22
04/2015;327;300;27
05/2015;323;296;27
06/2015;282;264;18
07/2015;261;253;8
08/2015;355;341;14
09/2015;332;314;18
10/2015;341;322;19
11/2015;354;342;12
12/2015;359;336;23
01/2016;323;301;22
02/2016;295;275;20
03/2016;316;296;20
04/2016;274;254;20
05/2016;284;270;14
06/2016;248;232;16
07/2016;255;247;8
08/2016;291;279;12
09/2016;222;208;14
10/2016;276;257;19
11/2016;298;277;21
12/2016;320;296;24
01/2017;349;339;10
02/2017;269;254;15
03/2017;358;340;18
04/2017;378;348;30
05/2017;471;446;25
06/2017;473;448;25
07/2017;474;440;34
08/2017;460;425;35
09/2017;460;419;41
10/2017;516;477;39
11/2017;470;425;45
12/2017;454;408;46
01/2018;482;430;52
02/2018;361;317;44
03/2018;414;373;41
04/2018;367;335;32
05/2018;372;340;32
06/2018;384;351;33
07/2018;378;337;41
08/2018;352;317;35
09/2018;391;350;41
10/2018;363;330;33
11/2018;326;287;39
12/2018;328;288;40
01/2019;192;177;15
02/2019;164;148;16
03/2019;189;176;13
04/2019;213;188;25
05/2019;179;162;17
06/2019;169;152;17
07/2019;196;169;27
08/2019;186;173;13
09/2019;183;162;21
10/2019;176;157;19
11/2019;205;181;24
12/2019;205;181;24
01/2020;265;235;30
02/2020;459;429;30
03/2020;359;329;30
04/2020;439;408;31
05/2020;365;325;40
06/2020;358;326;32
07/2020;297;274;23
08/2020;260;245;15
09/2020;253;227;26
10/2020;322;291;31
11/2020;343;319;24
12/2020;319;295;24
01/2021;306;277;29
02/2021;250;231;19
03/2021;249;225;24
04/2021;275;248;27
05/2021;244;217;27
06/2021;275;251;24
07/2021;263;230;33
08/2021;281;255;26
09/2021;301;255;46
10/2021;298;269;29
11/2021;285;253;32
12/2021;272;244;28
01/2022;251;230;21
02/2022;276;253;23
03/2022;227;208;19
04/2022;244;217;27
05/2022;269;244;25
06/2022;214;196;18
07/2022;257;231;26
08/2022;250;234;16
09/2022;250;227;23
10/2022;249;225;24
11/2022;235;212;23
12/2022;248;221;27
01/2023;252;227;25
02/2023;251;236;15
03/2023;227;202;25
04/2023;217;198;19
05/2023;229;217;12
06/2023;211;193;18
07/2023;242;211;31
08/2023;255;235;20
09/2023;240;226;14
10/2023;293;261;32
11/2023;287;257;30
12/2023;266;243;23
01/2024;284;254;30
02/2024;257;241;16
03/2024;278;251;27
04/2024;320;280;40
05/2024;316;283;33
06/2024;259;234;25
07/2024;246;230;16
08/2024;254;232;22
09/2024;231;209;22
10/2024;268;243;25
11/2024;270;240;30
12/2024;289;263;26
01/2025;269;243;26
02/2025;206;185;21
03/2025;254;234;20
04/2025;202;183;19
05/2025;267;242;25
06/2025;231;202;29
07/2025;260;229;31
08/2025;281;251;30
09/2025;269;248;21
10/2025;284;250;34
11/2025;263;244;19
12/2025;235;206;29
